date,open,high,low,close,volume
2016-05-25,77.68,78.10,77.09,77.37,1203068
2016-05-26,77.33,77.59,76.49,77.24,1054601
2016-05-27,77.36,77.62,77.00,77.21,1217867
2016-05-31,77.36,78.06,76.89,77.17,1701017
2016-06-01,76.80,77.54,76.63,77.28,889143
2016-06-02,77.01,78.22,77.01,78.22,1141865
2016-06-03,78.20,78.23,76.96,77.27,1563520
2016-06-06,77.27,78.02,77.10,77.77,794132
2016-06-07,77.75,78.35,77.41,78.16,929283
2016-06-08,78.01,78.91,77.69,78.86,1109119
2016-06-09,78.79,78.97,78.21,78.75,1244963
2016-06-10,78.30,78.74,77.20,77.45,1290840
2016-06-13,77.20,77.43,76.19,76.48,1420364
2016-06-14,76.42,77.50,76.09,77.42,1853582
2016-06-15,77.50,77.95,76.52,76.62,1190347
2016-06-16,76.16,77.19,75.89,77.10,1234127
2016-06-17,77.13,77.27,75.20,75.73,1953876
2016-06-20,76.73,78.38,76.73,77.84,2059846
2016-06-21,78.18,78.22,77.35,77.87,884206
2016-06-22,78.09,80.11,77.91,79.59,2284695
2016-06-23,80.08,80.54,79.67,80.53,987927
2016-06-24,77.93,79.42,77.86,78.90,1556278
2016-06-27,78.50,78.81,77.29,77.58,2641427
2016-06-28,77.74,78.41,77.50,78.24,1632255
2016-06-29,79.01,80.68,78.89,80.15,1344810
2016-06-30,80.00,81.41,79.93,81.41,1408138
2016-07-01,80.89,81.34,80.63,81.24,1147682
2016-07-05,81.08,81.35,80.47,81.07,1045242
2016-07-06,80.91,81.40,80.27,81.19,1496259
2016-07-07,81.19,81.69,80.97,81.23,1170638
2016-07-08,81.78,82.42,81.40,82.23,1516646
2016-07-11,82.65,82.98,82.30,82.82,1130792
2016-07-12,83.02,83.29,82.48,83.01,1242521
2016-07-13,83.37,83.79,82.87,83.10,847951
2016-07-14,83.57,83.92,83.37,83.56,1007399
2016-07-15,83.81,83.97,82.98,83.30,974547
2016-07-18,83.45,83.75,82.72,83.04,1039815
2016-07-19,83.09,83.78,82.69,83.15,936206
2016-07-20,83.50,83.86,83.17,83.56,964586
2016-07-21,83.36,85.11,83.15,84.02,1678495
2016-07-22,84.22,85.16,83.80,85.00,1129807
2016-07-25,84.66,84.86,84.13,84.45,794784
2016-07-26,84.41,84.95,83.88,84.92,1278170
2016-07-27,84.51,84.74,83.79,84.31,1144890
2016-07-28,84.17,85.50,83.97,85.31,919796
2016-07-29,85.12,86.44,85.08,86.36,1472923
2016-08-01,86.50,86.85,86.15,86.24,971786
2016-08-02,86.17,86.23,84.87,85.24,1057991
2016-08-03,85.38,85.99,85.05,85.65,865624
2016-08-04,85.86,85.95,85.27,85.80,943287
2016-08-05,86.06,86.39,85.61,85.68,874464
2016-08-08,85.73,85.83,84.80,84.93,1042818
2016-08-09,85.15,85.68,84.97,85.52,675091
2016-08-10,85.36,85.41,84.87,85.36,588429
2016-08-11,85.63,86.19,85.35,86.06,797986
2016-08-12,85.82,86.04,85.51,85.79,657854
2016-08-15,85.81,86.13,85.62,85.68,718121
2016-08-16,85.65,85.98,85.02,85.25,568922
2016-08-17,85.20,85.52,84.26,84.69,953888
2016-08-18,84.54,85.39,84.54,85.18,711753
2016-08-19,84.84,84.97,84.17,84.91,971487
2016-08-22,84.85,85.56,84.53,85.10,904667
2016-08-23,85.30,85.45,84.38,84.48,1363606
2016-08-24,84.48,84.75,83.34,83.45,1467346
2016-08-25,83.11,83.66,82.80,83.17,1688121
2016-08-26,83.43,83.77,82.66,82.98,1614615
2016-08-29,83.00,84.56,82.96,84.33,1197025
2016-08-30,84.27,84.68,83.28,83.54,897004
2016-08-31,82.66,83.03,81.65,82.82,1644127
2016-09-01,82.93,82.93,81.97,82.36,1629277
2016-09-02,82.67,83.22,82.30,83.04,2303179
2016-09-06,83.01,83.35,82.67,83.34,1524487
2016-09-07,83.33,84.31,83.30,84.26,1251932
2016-09-08,84.10,84.50,83.84,84.13,1294396
2016-09-09,83.34,83.35,80.92,80.92,1114293
2016-09-12,80.60,82.47,80.60,82.27,1373315
2016-09-13,81.62,83.89,80.93,82.31,1936394
2016-09-14,82.41,82.47,81.64,82.09,1399551
2016-09-15,82.11,83.43,81.75,83.05,974738
2016-09-16,82.93,83.37,82.39,83.25,1142268
2016-09-19,83.32,84.09,83.22,83.28,796082
2016-09-20,83.57,83.83,82.91,83.10,668218
2016-09-21,83.24,84.93,83.19,84.86,1204543
2016-09-22,85.08,85.89,85.07,85.73,900481
2016-09-23,85.55,85.97,84.99,85.44,766295
2016-09-26,84.90,85.28,84.49,84.61,854131
2016-09-27,84.52,85.09,84.12,84.88,821260
2016-09-28,84.88,85.06,84.08,84.94,665388
2016-09-29,84.73,84.98,83.34,83.55,660119
2016-09-30,83.54,84.93,82.87,84.63,1217866
2016-10-03,84.20,84.48,83.57,84.07,697052
2016-10-04,84.13,84.53,83.11,83.69,681295
2016-10-05,83.78,84.58,83.67,84.05,669485
2016-10-06,83.80,84.25,83.48,84.23,580960
2016-10-07,84.45,85.00,83.94,84.74,858296
2016-10-10,85.00,85.36,84.75,84.83,626782
2016-10-11,84.42,84.67,83.24,83.31,986206
2016-10-12,83.45,83.70,82.93,83.23,948091
2016-10-13,82.69,83.75,82.29,83.32,910473
2016-10-14,83.69,83.93,83.17,83.17,581437
2016-10-17,83.12,83.62,82.98,83.04,639860
2016-10-18,83.80,84.40,83.68,83.70,1029809
2016-10-19,83.74,84.01,82.70,82.98,1494227
2016-10-20,82.66,84.85,82.29,84.57,1784619
2016-10-21,84.24,84.27,83.49,83.69,661731
2016-10-24,84.40,84.40,83.55,83.67,744062
2016-10-25,83.81,83.90,82.55,83.17,1068495
2016-10-26,82.66,83.00,79.75,80.15,2074390
2016-10-27,80.47,80.67,79.64,79.93,1307259
2016-10-28,79.65,80.98,79.12,80.44,1048611
2016-10-31,80.74,81.50,80.56,81.44,1315520
2016-11-01,81.66,81.66,79.64,80.53,1144640
2016-11-02,80.59,82.16,80.59,80.98,1034195
2016-11-03,81.22,82.07,81.10,81.30,1323161
2016-11-04,81.33,81.68,80.94,81.22,1289309
2016-11-07,82.20,82.70,81.77,82.47,1127227
2016-11-08,82.40,83.74,82.02,83.52,978030
2016-11-09,82.30,83.00,79.28,80.40,2447006
2016-11-10,80.98,81.78,80.52,81.51,1891801
2016-11-11,81.37,82.00,80.83,81.46,1543482
2016-11-14,83.24,85.62,83.03,85.10,3625311
2016-11-15,85.05,85.55,84.77,85.20,1801438
2016-11-16,85.05,85.57,84.47,84.69,1116875
2016-11-17,84.74,85.89,84.58,85.79,1336293
2016-11-18,85.68,86.03,85.24,85.54,2543988
2016-11-21,85.66,87.48,85.52,87.29,1602120
2016-11-22,87.29,87.59,86.43,86.64,1385577
2016-11-23,86.24,87.88,86.11,87.82,925361
2016-11-25,87.93,88.34,87.79,88.32,531249
2016-11-28,88.07,88.48,87.77,88.23,1172217
2016-11-29,88.51,89.13,88.23,88.75,844426
2016-11-30,88.56,89.16,87.43,87.46,1422105
2016-12-01,87.39,87.98,86.89,87.45,975804
2016-12-02,87.34,88.83,87.34,88.00,1034076
2016-12-05,88.04,88.49,87.58,88.32,757574
2016-12-06,88.33,88.99,87.95,88.67,629251
2016-12-07,88.64,89.12,87.83,88.71,822896
2016-12-08,88.89,89.96,88.89,89.68,923289
2016-12-09,89.57,91.23,89.45,91.14,872381
2016-12-12,91.53,92.35,91.09,91.71,1306894
2016-12-13,91.66,92.57,91.55,91.95,1137980
2016-12-14,91.85,92.06,90.69,91.05,998499
2016-12-15,90.70,92.08,90.49,91.98,991928
2016-12-16,92.28,93.00,91.72,92.31,1652450
2016-12-19,91.93,92.80,91.72,92.38,992205
2016-12-20,92.73,93.57,92.41,92.60,840351
2016-12-21,92.27,92.66,91.76,92.04,890320
2016-12-22,92.25,92.46,91.25,91.81,1225839
2016-12-23,92.04,92.46,91.91,92.41,326126
2016-12-27,92.62,93.09,92.21,92.51,339941
2016-12-28,92.37,92.51,91.63,91.76,340175
2016-12-29,91.84,92.38,91.48,91.87,558815
2016-12-30,91.87,92.36,91.50,91.90,737985
2017-01-03,92.76,93.35,92.03,92.45,1013005
2017-01-04,92.91,93.37,92.51,93.07,921635
2017-01-05,92.70,93.03,91.87,92.69,1088985
2017-01-06,92.12,92.71,91.99,92.02,784775
2017-01-09,92.06,92.68,91.58,92.43,954827
2017-01-10,92.26,93.06,91.79,93.00,1038595
2017-01-11,93.08,93.84,92.44,93.27,720506
2017-01-12,92.94,93.18,92.35,93.12,686142
2017-01-13,93.29,93.68,92.43,92.70,663245
2017-01-17,92.59,92.66,91.69,92.26,768273
2017-01-18,92.71,93.37,92.15,92.96,804058
2017-01-19,92.71,93.03,91.46,91.53,1257924
2017-01-20,91.66,91.78,90.47,91.00,1167722
2017-01-23,91.05,91.21,90.50,91.07,1207771
2017-01-24,91.42,91.45,90.91,91.34,929135
2017-01-25,91.45,92.44,91.38,91.88,1008023
2017-01-26,91.61,95.14,90.56,92.89,1672378
2017-01-27,93.52,93.58,92.15,92.72,1374688
2017-01-30,92.57,92.57,90.13,90.54,1095230
2017-01-31,90.68,91.95,90.24,91.92,1384275
2017-02-01,92.13,92.60,91.96,92.55,1266726
2017-02-02,92.30,92.99,91.93,92.48,1050358
2017-02-03,92.95,93.43,92.39,93.31,746131
2017-02-06,93.29,93.29,92.36,92.78,747704
2017-02-07,92.61,92.96,92.09,92.62,817514
2017-02-08,92.59,93.26,92.32,93.05,623835
2017-02-09,93.07,94.03,92.73,93.77,760500
2017-02-10,93.84,94.22,93.45,93.56,878224
2017-02-13,93.61,94.09,93.61,93.96,650609
2017-02-14,93.76,94.67,93.76,94.61,766077
2017-02-15,94.26,95.51,94.26,95.39,1077407
2017-02-16,95.58,96.45,94.90,95.30,766588
2017-02-17,94.80,95.66,94.56,95.64,978685
2017-02-21,95.48,96.23,95.36,95.87,638271
2017-02-22,95.54,95.96,95.34,95.60,781896
2017-02-23,95.70,96.08,95.27,95.61,705238
2017-02-24,95.72,97.34,95.49,97.31,807147
2017-02-27,97.39,97.61,97.15,97.47,516491
2017-02-28,97.20,97.83,97.12,97.44,694944
2017-03-01,97.77,98.75,97.48,98.40,836951
2017-03-02,98.25,98.61,97.85,98.27,608841
2017-03-03,98.29,98.65,98.00,98.52,510090
2017-03-06,98.06,98.60,97.78,98.37,688615
2017-03-07,97.95,98.59,97.55,98.17,689678
2017-03-08,97.95,98.57,97.82,97.92,601208
2017-03-09,98.01,98.60,97.60,98.20,507815
2017-03-10,98.13,98.96,98.02,98.78,549082
2017-03-13,98.94,98.97,98.13,98.79,612159
2017-03-14,99.00,99.45,98.19,98.66,829142
2017-03-15,98.87,99.83,98.54,99.74,909718
2017-03-16,99.78,100.00,98.40,98.72,1083780
2017-03-17,98.83,99.34,98.76,99.06,1547776
2017-03-20,99.34,99.46,98.87,99.17,576100
2017-03-21,99.36,99.77,98.02,98.43,1125119
2017-03-22,98.64,98.79,97.98,98.57,876562
2017-03-23,98.46,99.36,98.10,98.27,685928
2017-03-24,98.39,99.21,98.27,98.70,884005
2017-03-27,98.06,98.82,97.49,98.64,807649
2017-03-28,98.51,99.04,97.75,98.84,727886
2017-03-29,98.62,98.65,98.12,98.22,500402
2017-03-30,98.20,98.57,98.00,98.37,449120
2017-03-31,98.09,98.37,97.84,98.19,785034
2017-04-03,97.85,98.36,97.61,98.01,772796
2017-04-04,98.02,98.28,97.32,97.62,874873
2017-04-05,97.91,98.81,97.56,97.89,968439
2017-04-06,97.90,97.94,96.97,97.86,681809
2017-04-07,97.76,98.05,97.31,97.85,458513
2017-04-10,97.84,98.45,97.35,98.21,378681
2017-04-11,97.96,98.29,97.32,98.23,447619
2017-04-12,98.40,98.46,97.64,98.12,428316
2017-04-13,97.99,98.04,97.14,97.25,618984
2017-04-17,97.39,97.81,97.18,97.77,781657
2017-04-18,97.45,97.60,96.91,97.11,904317
2017-04-19,97.50,98.16,97.45,98.11,850793
2017-04-20,99.67,104.17,99.23,104.03,3329954
2017-04-21,104.20,105.25,103.18,103.30,2230649
2017-04-24,103.86,104.52,103.36,104.09,1679144
2017-04-25,103.59,105.99,103.15,105.87,1835994
2017-04-26,106.12,106.58,105.32,105.76,1227043
2017-04-27,105.98,106.58,105.62,105.81,886608
2017-04-28,105.75,106.29,105.34,105.51,940259
2017-05-01,105.74,106.66,105.39,106.27,735432
2017-05-02,106.73,107.22,106.23,106.80,985658
2017-05-03,106.78,107.06,106.17,106.74,1389927
2017-05-04,106.99,107.73,106.64,107.22,940779
2017-05-05,107.43,107.55,106.84,107.09,875191
2017-05-08,107.18,108.00,106.90,107.19,703163
2017-05-09,107.15,107.62,106.81,107.28,1024922
2017-05-10,107.00,107.97,106.90,107.85,712036
2017-05-11,107.67,108.21,107.18,107.41,1171206
2017-05-12,107.16,107.28,106.12,106.47,927897
2017-05-15,106.50,107.85,106.36,107.59,1047725
2017-05-16,107.46,107.50,106.06,106.39,863812
2017-05-17,105.50,106.14,105.07,105.12,921962
2017-05-18,105.20,106.25,104.64,105.65,877855
2017-05-19,105.86,106.17,105.28,105.89,823295
2017-05-22,106.04,106.83,105.80,106.55,616458
2017-05-23,106.74,106.90,106.28,106.51,490901
2017-05-24,106.51,106.86,106.11,106.54,706931
2017-05-25,106.75,108.52,106.50,108.14,678563
2017-05-26,108.26,108.61,107.77,107.98,573268
2017-05-30,107.95,108.77,107.75,107.89,614975
2017-05-31,108.06,108.90,108.06,108.77,872821
2017-06-01,108.96,109.83,108.64,109.72,717329
2017-06-02,109.90,110.28,109.65,109.94,691532
2017-06-05,109.81,110.28,109.24,109.34,734409
2017-06-06,108.98,109.49,108.83,109.14,615904
2017-06-07,109.36,109.64,108.62,108.93,659148
2017-06-08,109.00,109.07,107.78,108.32,882368
2017-06-09,108.34,108.84,108.04,108.41,826299
2017-06-12,108.38,108.66,106.38,107.44,1340645
2017-06-13,107.87,108.49,107.72,108.43,997952
2017-06-14,108.65,108.65,106.77,107.23,599720
2017-06-15,106.64,107.73,106.53,107.73,631461
2017-06-16,107.82,108.09,107.28,107.67,915741
2017-06-19,107.67,108.18,107.10,108.14,850102
2017-06-20,108.17,109.07,108.11,108.34,1289238
2017-06-21,108.33,109.09,108.33,109.03,763586
2017-06-22,109.06,110.38,108.95,109.56,774423
2017-06-23,109.66,109.89,109.01,109.70,1260865
2017-06-26,109.74,110.65,109.49,110.05,828599
2017-06-27,109.91,110.25,108.94,109.47,975690
2017-06-28,110.19,111.43,109.85,111.11,851667
2017-06-29,111.32,111.87,109.61,110.54,1060215
2017-06-30,110.84,111.76,110.74,111.16,893594
2017-07-03,111.76,112.97,110.66,110.66,845562
2017-07-05,111.26,111.99,110.43,110.79,657834
2017-07-06,110.19,110.26,108.65,109.01,1051153
2017-07-07,109.23,109.82,108.39,109.73,971532
2017-07-10,109.52,109.71,108.54,108.59,936565
2017-07-11,108.58,108.93,107.82,108.56,668113
2017-07-12,109.05,109.42,108.70,108.90,647496
2017-07-13,109.00,109.00,108.03,108.67,505787
2017-07-14,108.71,109.36,108.45,109.03,635510
2017-07-17,109.00,109.73,108.89,109.66,520287
2017-07-18,109.67,109.84,108.89,109.61,795966
2017-07-19,109.75,110.28,109.34,109.93,682219
2017-07-20,110.05,110.35,109.32,109.65,1129150
2017-07-21,109.58,109.95,108.95,109.39,713028
2017-07-24,109.26,109.65,108.61,109.44,1008110
2017-07-25,108.00,108.73,105.07,108.18,1776677
2017-07-26,108.40,110.80,108.16,108.22,1468666
2017-07-27,108.22,109.70,107.54,108.99,990863
2017-07-28,109.10,109.60,108.61,109.51,617305
2017-07-31,109.61,109.76,108.25,108.31,755487
2017-08-01,108.57,109.21,108.30,108.34,735648
2017-08-02,108.23,108.27,107.28,107.97,735187
2017-08-03,107.76,108.32,107.30,107.56,647964
2017-08-04,107.82,107.82,106.36,106.97,618593
2017-08-07,106.98,107.25,105.92,106.73,1347586
2017-08-08,106.66,107.28,106.01,106.21,885074
2017-08-09,106.22,106.80,105.76,106.50,740733
2017-08-10,106.13,106.44,105.38,105.61,690640
2017-08-11,105.71,107.04,105.71,106.10,849396
2017-08-14,106.77,106.87,106.35,106.46,698048
2017-08-15,106.94,107.43,106.22,106.60,639442
2017-08-16,106.81,107.45,106.64,106.75,587180
2017-08-17,106.68,107.27,104.91,105.37,496872
2017-08-18,105.27,105.67,104.63,104.87,779220
2017-08-21,105.07,105.53,104.85,105.00,673403
2017-08-22,105.19,106.89,105.15,106.84,703048
2017-08-23,106.46,106.92,106.02,106.74,659687
2017-08-24,106.96,107.20,106.51,106.57,512220
2017-08-25,106.74,107.52,106.65,107.02,335819
2017-08-28,107.35,107.44,106.44,107.04,912688
2017-08-29,106.61,107.34,106.47,106.79,753910
2017-08-30,106.72,107.41,106.57,107.26,477124
2017-08-31,107.41,108.46,107.22,108.35,796403
2017-09-01,108.46,108.78,107.65,108.17,516526
2017-09-05,107.82,108.11,107.11,107.42,814254
2017-09-06,107.63,107.64,106.58,107.26,758586
2017-09-07,107.42,107.63,106.70,107.29,552436
2017-09-08,107.21,107.64,106.93,107.54,654379
2017-09-11,108.33,108.54,107.69,108.23,625200
2017-09-12,108.36,108.63,107.26,107.53,512356
2017-09-13,107.37,107.64,106.63,106.89,980282
2017-09-14,106.72,106.73,105.00,105.60,1131357
2017-09-15,105.52,105.97,104.49,104.96,1252259
2017-09-18,105.03,105.38,103.62,103.86,959220
2017-09-19,103.78,103.91,101.37,101.86,1231066
2017-09-20,101.62,102.63,101.16,101.80,2385063
2017-09-21,101.77,102.13,100.01,101.55,1359140
2017-09-22,101.55,102.51,100.63,102.11,1026597
2017-09-25,95.47,96.65,92.64,94.57,4661790
2017-09-26,94.50,95.96,93.83,94.30,2414056
2017-09-27,94.30,94.67,92.79,93.09,1989174
2017-09-28,92.60,93.23,91.67,91.96,2312228
2017-09-29,91.98,94.42,91.78,93.64,2451287
2017-10-02,93.49,93.99,93.00,93.57,1534963
2017-10-03,93.21,94.04,92.42,92.89,1581810
2017-10-04,92.84,93.34,92.53,92.96,1432062
2017-10-05,93.12,93.41,92.12,92.44,1072640
2017-10-06,92.48,92.77,91.94,92.42,1160643
2017-10-09,92.51,92.58,90.93,91.06,965066
2017-10-10,90.67,90.93,90.18,90.86,1840671
2017-10-11,91.06,91.93,90.83,91.45,1318298
2017-10-12,91.44,92.04,90.94,91.52,1622196
2017-10-13,91.16,91.61,90.59,91.06,785808
2017-10-16,90.93,91.56,90.69,91.53,1064424
2017-10-17,91.50,92.28,90.79,92.18,1393009
2017-10-18,92.18,93.09,91.60,92.05,1917248
2017-10-19,92.89,94.11,90.10,93.23,2452929
2017-10-20,93.61,95.29,93.55,95.08,1807088
2017-10-23,95.19,96.00,94.94,95.20,1418182
2017-10-24,95.10,95.49,94.45,95.27,1125373
2017-10-25,94.86,94.95,93.67,94.21,1927676
2017-10-26,94.89,95.75,94.16,94.80,1216616
2017-10-27,95.12,95.84,94.45,95.68,887486
2017-10-30,95.43,95.43,92.70,93.78,1398597
2017-10-31,93.35,94.27,93.07,93.78,1217600
2017-11-01,93.91,94.49,93.00,93.10,1371905
2017-11-02,93.20,94.70,93.08,93.75,1263277
2017-11-03,93.86,94.42,93.70,94.09,658399
2017-11-06,93.83,94.57,93.14,93.15,1165931
2017-11-07,93.40,93.92,92.43,92.66,904416
2017-11-08,92.38,93.76,91.76,93.15,973358
2017-11-09,92.94,93.92,92.16,93.02,1843569
2017-11-10,92.80,93.07,92.04,92.05,1056006
2017-11-13,92.00,92.43,91.86,92.00,1058589
2017-11-14,91.64,92.62,91.42,92.42,1359814
2017-11-15,92.14,92.41,91.44,91.85,741127
2017-11-16,92.17,93.38,92.17,92.94,850664
2017-11-17,92.63,93.72,92.02,93.04,2013414
2017-11-20,92.25,92.75,90.31,92.41,2092776
2017-11-21,91.81,93.52,91.80,92.46,1328456
2017-11-22,92.53,93.66,92.21,92.52,1476451
2017-11-24,92.37,92.51,91.08,91.62,634803
2017-11-27,91.73,92.66,91.48,92.50,981800
2017-11-28,92.73,93.52,92.35,93.35,899726
2017-11-29,93.28,97.43,93.27,97.33,2134025
2017-11-30,97.31,99.44,97.31,98.46,3487600
2017-12-01,98.35,99.25,97.07,99.21,2595727
2017-12-04,99.63,102.62,99.61,100.24,2135807
2017-12-05,100.11,100.39,97.86,97.87,1884468
2017-12-06,98.04,98.09,97.37,97.39,1026257
2017-12-07,97.23,97.62,96.51,96.62,1177434
2017-12-08,96.73,97.42,96.26,97.09,768000
2017-12-11,96.77,97.24,96.26,97.10,700384
2017-12-12,97.57,98.16,97.01,97.01,1201670
2017-12-13,96.96,97.69,96.53,97.14,1126441
2017-12-14,97.42,98.35,96.95,97.12,1417818
2017-12-15,97.71,99.67,97.47,98.99,1653592
2017-12-18,99.39,99.70,98.59,98.73,1023733
2017-12-19,98.89,100.15,98.23,99.48,897268
2017-12-20,99.77,99.95,98.43,99.04,928872
2017-12-21,99.50,99.93,98.46,99.15,1484525
2017-12-22,99.29,99.42,98.93,99.24,464987
2017-12-26,99.23,100.01,99.07,99.27,365585
2017-12-27,99.34,99.48,98.80,99.20,421592
2017-12-28,99.34,99.35,98.65,99.13,842505
2017-12-29,99.54,99.74,98.49,98.49,459969
2018-01-02,98.77,99.09,98.35,98.90,874804
2018-01-03,98.72,99.44,98.00,99.25,885449
2018-01-04,99.59,99.59,98.60,99.08,933504
